object,noun,pronoun,modal verb,verb,adjective or ordinal numeral,adverb,determinative,interjection,numeral,non english word,functor,?
corpus,27.23,11.81,2.49,16.37,10.05,5.63,6.57,0,0.38,0.03,6.79,1.52
Fair Youth,27.29,11.77,2.56,16.06,10.07,5.54,6.79,0,0.35,0.03,6.84,1.45
Dark Lady,26.96,11.98,2.15,17.69,9.95,6.01,5.62,0,0.51,0.03,6.55,1.82
Procreation,29.67,9.55,2.94,14.81,11.56,5.37,6.19,0,0.41,0,6.81,1.7
Rival Poet,24.78,14.61,2.78,17.32,11.28,6.04,6.35,0,0.24,0,6.12,0.87
001.txt,33.33,3.7,2.78,13.89,13.89,5.56,8.33,0,0,0,9.26,2.78
002.txt,28.33,9.17,2.5,15.83,19.17,4.17,5.0,0,0,0,5.0,4.17
003.txt,33.9,7.63,4.24,11.02,11.86,5.93,7.63,0,0,0,5.08,0.85
004.txt,32.38,9.52,1.9,16.19,15.24,5.71,2.86,0,0,0,6.67,2.86
005.txt,29.36,10.09,2.75,15.6,8.26,6.42,6.42,0,0,0,10.09,1.83
006.txt,27.83,5.22,3.48,24.35,9.57,8.7,5.22,0,0.87,0,3.48,2.61
007.txt,28.43,9.8,1.96,14.71,12.75,4.9,7.84,0,0,0,4.9,0.98
008.txt,27.93,8.11,0,15.32,14.41,5.41,6.31,0,4.5,0,6.31,0.9
009.txt,34.71,6.61,2.48,13.22,7.44,2.48,11.57,0,0,0,5.79,3.31
010.txt,28.32,6.19,3.54,17.7,15.04,5.31,2.65,0,0,0,7.96,0
011.txt,35.9,7.69,2.56,11.11,9.4,8.55,5.98,0,0.85,0,5.13,0
012.txt,26.45,10.74,2.48,19.83,9.09,3.31,8.26,0,0,0,7.44,1.65
013.txt,23.42,17.12,3.6,16.22,10.81,8.11,6.31,0,0,0,5.41,1.8
014.txt,28.7,11.3,2.61,13.91,7.83,5.22,2.61,0,0,0,13.04,2.61
015.txt,33.04,14.29,0.89,8.04,9.82,1.79,8.04,0,0,0,6.25,0
016.txt,27.52,12.84,3.67,9.17,13.76,6.42,4.59,0,0,0,7.34,0.92
017.txt,24.43,12.21,7.63,16.03,7.63,4.58,6.11,0,0.76,0,6.87,1.53
