filename,number of words,number of unique words,number of lines,Type-Token Ratio,lexical density,sensations,personas,love,longest words
001.txt,105,77,14,0.73,0.83,tactition interoception vision gustation olfaction,we thou,no,self-substantial
002.txt,114,79,14,0.69,0.87,vision tactition interoception,I thou,no,deep-sunken
003.txt,115,75,14,0.65,0.81,vision olfaction,thou,no,remember'd
004.txt,101,68,14,0.66,0.86,gustation audition,thou,no,acceptable loveliness profitless
005.txt,104,79,14,0.76,0.78,audition vision gustation,,no,never-resting
006.txt,108,67,14,0.62,0.84,gustation,thou,no,self-will'd self-kill'd
007.txt,100,73,14,0.73,0.8,vision interoception audition,thou,no,new-appearing
008.txt,110,79,14,0.7,0.81,audition gustation interoception,thou,no,speechless singleness resembling well-tuned
009.txt,117,82,14,0.7,0.82,interoception tactition vision gustation,thou,yes,children's
010.txt,112,72,14,0.64,0.79,interoception audition,I thou,yes,kind-hearted
011.txt,116,84,14,0.72,0.82,olfaction interoception tactition vision,thou,no,featureless
012.txt,118,81,14,0.69,0.8,vision tactition interoception gustation,thou,no,themselves
013.txt,108,74,14,0.69,0.85,gustation tactition interoception,I you,yes,determination
014.txt,112,80,14,0.71,0.72,vision,I thou,no,prognosticate
015.txt,111,82,14,0.74,0.76,tactition vision,I you,yes,inconstant perfection presenteth
016.txt,108,83,14,0.78,0.79,interoception vision gustation,I you,no,counterfeit
017.txt,124,85,14,0.69,0.8,vision olfaction tactition gustation,I you,no,stretched
018.txt,114,79,14,0.68,0.82,tactition interoception vision,thou,no,complexion possession
019.txt,115,82,14,0.71,0.85,gustation tactition interoception,I thou,yes,swift-footed
020.txt,113,78,14,0.69,0.79,audition vision interoception,I thou,yes,master-mistress
021.txt,117,81,14,0.69,0.77,vision,I,yes,first-born couplement
022.txt,122,77,14,0.62,0.84,vision interoception tactition,I thou,yes,therefore
023.txt,114,77,14,0.68,0.77,interoception vision gustation audition,I,yes,o'ercharged
024.txt,120,76,14,0.63,0.84,vision,I thou you,no,where-through
025.txt,108,77,14,0.71,0.78,interoception vision tactition,,yes,themselves favourites
026.txt,118,79,14,0.67,0.82,vision gustation,I thou,yes,graciously whatsoever
